year,month,day,hour,power
2017,10,25,6,341.02
2017,10,25,7,114.71
2017,10,25,8,279.51
2017,10,25,9,482.95
2017,10,25,10,477.01
2017,10,25,11,679.23
2017,10,25,12,1104.94
2017,10,25,13,1433.3
2017,10,25,14,1169.73
2017,10,25,15,1355.6
2017,10,25,16,919.81
2017,10,25,17,684.38
2017,10,25,18,588.56
2017,10,25,19,640.78
2017,10,25,20,782.31
2017,10,25,21,754.65
2017,10,25,22,813.13
2017,10,25,23,1510.03
2017,10,26,0,1781.41
2017,10,26,1,1476.63
2017,10,26,2,1270.99
2017,10,26,3,993.08
2017,10,26,4,558.18
2017,10,26,5,455.09
2017,10,26,6,314.02
2017,10,26,7,168.89
2017,10,26,8,204.05
2017,10,26,9,354.93
2017,10,26,10,457.32
2017,10,26,11,806.59
2017,10,26,12,1061.61
2017,10,26,13,1471.66
2017,10,26,14,1370
2017,10,26,15,1119.1
2017,10,26,16,909.43
2017,10,26,17,548.29
2017,10,26,18,515.91
2017,10,26,19,588.24
2017,10,26,20,821.32
2017,10,26,21,818.9
2017,10,26,22,786.67
2017,10,26,23,1617.81
2017,10,27,0,1887.86
2017,10,27,1,1615.92
2017,10,27,2,1224.75
2017,10,27,3,754.89
2017,10,27,4,687.72
2017,10,27,5,550.71
2017,10,27,6,221.8
2017,10,27,7,132.34
2017,10,27,8,229.26
2017,10,27,9,327.83
2017,10,27,10,467.42
2017,10,27,11,834.01
2017,10,27,12,1257.23
2017,10,27,13,1470.37
2017,10,27,14,1322.98
2017,10,27,15,1480.35
2017,10,27,16,903.75
2017,10,27,17,604.28
2017,10,27,18,600.33
2017,10,27,19,692.03
2017,10,27,20,737.7
2017,10,27,21,745.66
2017,10,27,22,919.93
2017,10,27,23,1656.9
2017,10,28,0,1979
2017,10,28,1,1483.18
2017,10,28,2,969.34
2017,10,28,3,763.41
2017,10,28,4,641.14
2017,10,28,5,572.62
2017,10,28,6,391.62
2017,10,28,7,170.1
2017,10,28,8,214.66
2017,10,28,9,331.56
2017,10,28,10,403.96
2017,10,28,11,585.54
2017,10,28,12,854.66
2017,10,28,13,965.66
2017,10,28,14,1142.9
2017,10,28,15,1388.53
2017,10,28,16,933.66
2017,10,28,17,653.09
2017,10,28,18,581.94
2017,10,28,19,684.39
2017,10,28,20,686.44
2017,10,28,21,468.18
2017,10,28,22,683.96
2017,10,28,23,1500.07
2017,10,29,0,1734.71
2017,10,29,1,1437.41
2017,10,29,2,1353.7
2017,10,29,3,917.26
2017,10,29,4,623.1
2017,10,29,5,464.29
2017,10,29,6,394.75
2017,10,29,7,233.75
2017,10,29,8,209.65
2017,10,29,9,307.97
2017,10,29,10,364.45
2017,10,29,11,631.36
2017,10,29,12,922.48
2017,10,29,13,1123.08
2017,10,29,14,1019.95
2017,10,29,15,1036.92
2017,10,29,16,829.61
2017,10,29,17,686.45
2017,10,29,18,522.92
2017,10,29,19,544.72
2017,10,29,20,632.17
2017,10,29,21,789.2
2017,10,29,22,842.06
2017,10,29,23,1714.27
2017,10,30,0,1784.84
2017,10,30,1,1442.47
2017,10,30,2,838.22
2017,10,30,3,602.88
2017,10,30,4,445.58
2017,10,30,5,410.11
2017,10,30,6,274.66
2017,10,30,7,148.06
2017,10,30,8,237.88
2017,10,30,9,573.37
2017,10,30,10,596.72
2017,10,30,11,801.39
2017,10,30,12,1110.96
2017,10,30,13,1439.77
2017,10,30,14,1223.48
2017,10,30,15,1085.3
2017,10,30,16,854.45
2017,10,30,17,746.98
2017,10,30,18,498.23
2017,10,30,19,544
2017,10,30,20,703.35
2017,10,30,21,759.67
2017,10,30,22,674.18
2017,10,30,23,1810.06
2017,10,31,0,1624.11
2017,10,31,1,1288.97
2017,10,31,2,976.69
2017,10,31,3,579.11
2017,10,31,4,432.8
2017,10,31,5,418.14
2017,10,31,6,193.96
2017,10,31,7,152.83
2017,10,31,8,208.15
2017,10,31,9,491.09
2017,10,31,10,530.7
2017,10,31,11,716.6
2017,10,31,12,1039.45
2017,10,31,13,1312.39
2017,10,31,14,1174.08
2017,10,31,15,1139.81
2017,10,31,16,803.87
2017,10,31,17,548.74
2017,10,31,18,579.32
2017,10,31,19,696.89
2017,10,31,20,840.55
2017,10,31,21,869.16
2017,10,31,22,885.56
2017,10,31,23,1891.94
2017,11,1,0,1825.69
2017,11,1,1,1580.47
2017,11,1,2,1181.98
2017,11,1,3,883.79
2017,11,1,4,544.05
2017,11,1,5,442.78
2017,11,1,6,410.49
2017,11,1,7,115.12
2017,11,1,8,295.48
2017,11,1,9,524.62
2017,11,1,10,586.82
2017,11,1,11,739.75
2017,11,1,12,1076.68
2017,11,1,13,1307.78
2017,11,1,14,1264.43
2017,11,1,15,1311.98
2017,11,1,16,788.25
2017,11,1,17,669.92
2017,11,1,18,485.23
2017,11,1,19,616.18
2017,11,1,20,714.75
2017,11,1,21,666.44
2017,11,1,22,707.47
2017,11,1,23,1738.81
2017,11,2,0,1806.89
2017,11,2,1,1572.12
2017,11,2,2,1161.77
2017,11,2,3,786.08
2017,11,2,4,520.15
2017,11,2,5,314.48
2017,11,2,6,292.04
2017,11,2,7,147.45
2017,11,2,8,255.25
2017,11,2,9,343.43
2017,11,2,10,369.75
2017,11,2,11,692.26
2017,11,2,12,1261.62
2017,11,2,13,1257.62
2017,11,2,14,1179.76
2017,11,2,15,1254.43
2017,11,2,16,568.94
2017,11,2,17,517.38
2017,11,2,18,664.23
2017,11,2,19,700.04
2017,11,2,20,914.96
2017,11,2,21,805.35
2017,11,2,22,735.47
2017,11,2,23,1762.15
2017,11,3,0,1925.06
2017,11,3,1,1301.94
2017,11,3,2,838.77
2017,11,3,3,806.72
2017,11,3,4,516.9
2017,11,3,5,413.02
2017,11,3,6,278.14
2017,11,3,7,148.33
2017,11,3,8,300.9
2017,11,3,9,423.67
2017,11,3,10,482.55
2017,11,3,11,668.38
2017,11,3,12,936.84
2017,11,3,13,1133.88
2017,11,3,14,1195.06
2017,11,3,15,1298.75
2017,11,3,16,1042.51
2017,11,3,17,817.29
2017,11,3,18,603.48
2017,11,3,19,714.03
2017,11,3,20,877.98
2017,11,3,21,626.24
2017,11,3,22,698.23
2017,11,3,23,1625.39
2017,11,4,0,1522.3
2017,11,4,1,949.27
2017,11,4,2,769.68
2017,11,4,3,607.53
2017,11,4,4,278.37
2017,11,4,5,271.3
2017,11,4,6,172.82
2017,11,4,7,244.24
2017,11,4,8,309.81
2017,11,4,9,390.32
2017,11,4,10,525.49
2017,11,4,11,687.58
2017,11,4,12,889.74
2017,11,4,13,1238.05
2017,11,4,14,1067.58
2017,11,4,15,1228.11
2017,11,4,16,927.03
2017,11,4,17,618.43
2017,11,4,18,576.44
2017,11,4,19,653.93
2017,11,4,20,560.49
2017,11,4,21,558.02
2017,11,4,22,624.96
2017,11,4,23,1320.66
2017,11,5,0,1705.6
2017,11,5,1,1147.71
2017,11,5,2,924
2017,11,5,3,951.09
2017,11,5,4,670.55
2017,11,5,5,476.29
2017,11,5,6,367.89
2017,11,5,7,163.35
2017,11,5,8,227.28
2017,11,5,9,321.49
2017,11,5,10,383.43
2017,11,5,11,424.62
2017,11,5,12,665.77
2017,11,5,13,1012.23
2017,11,5,14,991.72
2017,11,5,15,1118.88
2017,11,5,16,750.76
2017,11,5,17,810.35
2017,11,5,18,642.82
2017,11,5,19,589.38
2017,11,5,20,670.75
2017,11,5,21,613.87
2017,11,5,22,698.5
2017,11,5,23,1628.96
2017,11,6,0,1570.44
2017,11,6,1,1077.23
2017,11,6,2,880.98
2017,11,6,3,595.55
2017,11,6,4,490.36
2017,11,6,5,380.44
2017,11,6,6,325.41
2017,11,6,7,163.03
2017,11,6,8,295.52
2017,11,6,9,577.74
2017,11,6,10,751.44
2017,11,6,11,739.03
2017,11,6,12,1137.06
2017,11,6,13,1168.82
2017,11,6,14,983.78
2017,11,6,15,995.81
2017,11,6,16,728.85
2017,11,6,17,522.31
2017,11,6,18,439.58
2017,11,6,19,573.05
2017,11,6,20,714.87
2017,11,6,21,659.48
2017,11,6,22,709.73
2017,11,6,23,1699.59
2017,11,7,0,1501.07
2017,11,7,1,1185.93
2017,11,7,2,800.19
2017,11,7,3,688.68
2017,11,7,4,590.95
2017,11,7,5,515.17
2017,11,7,6,325.83
2017,11,7,7,144.25
2017,11,7,8,283.16
2017,11,7,9,374.61
2017,11,7,10,553.66
2017,11,7,11,831.62
2017,11,7,12,1043.63
2017,11,7,13,1138.82
2017,11,7,14,1084.29
2017,11,7,15,1167.37
2017,11,7,16,678.61
2017,11,7,17,523.53
2017,11,7,18,561.87
2017,11,7,19,637.95
2017,11,7,20,653.15
2017,11,7,21,690.3
2017,11,7,22,910.02
2017,11,7,23,1708.55
2017,11,8,0,1648.21
2017,11,8,1,1057.95
2017,11,8,2,906.1
2017,11,8,3,771.39
2017,11,8,4,539.99
2017,11,8,5,418.93
2017,11,8,6,360.77
2017,11,8,7,242.94
2017,11,8,8,352.72
2017,11,8,9,533.94
2017,11,8,10,627.1
2017,11,8,11,949.54
2017,11,8,12,1477.12
2017,11,8,13,1650.33
2017,11,8,14,1446.47
2017,11,8,15,1432.27
2017,11,8,16,949.46
2017,11,8,17,574.34
2017,11,8,18,546.15
2017,11,8,19,618.29
2017,11,8,20,668.2
2017,11,8,21,601.22
2017,11,8,22,781.26
2017,11,8,23,1959.89
2017,11,9,0,1932.4
2017,11,9,1,1509.21
2017,11,9,2,1328.44
2017,11,9,3,858.79
2017,11,9,4,458.44
2017,11,9,5,348.7
2017,11,9,6,395.8
2017,11,9,7,178.08
2017,11,9,8,240.42
2017,11,9,9,474.38
2017,11,9,10,567.47
2017,11,9,11,925.71
2017,11,9,12,1343.1
2017,11,9,13,1575.44
2017,11,9,14,1450.67
2017,11,9,15,1495.87
2017,11,9,16,910.34
2017,11,9,17,566.68
2017,11,9,18,583.08
2017,11,9,19,820.71
2017,11,9,20,1035.29
2017,11,9,21,648.44
2017,11,9,22,790.57
2017,11,9,23,1597.61
2017,11,10,0,1724.41
2017,11,10,1,1438.77
2017,11,10,2,1077.71
2017,11,10,3,895.63
2017,11,10,4,575.39
2017,11,10,5,437.25
2017,11,10,6,342.1
2017,11,10,7,252.07
2017,11,10,8,240.09
2017,11,10,9,359.23
2017,11,10,10,560.65
2017,11,10,11,849.45
2017,11,10,12,1160.4
2017,11,10,13,1230.94
2017,11,10,14,1184.72
2017,11,10,15,1003.27
2017,11,10,16,775.54
2017,11,10,17,652.86
2017,11,10,18,519.39
2017,11,10,19,706.46
2017,11,10,20,750.2
2017,11,10,21,884.58
2017,11,10,22,759.18
2017,11,10,23,1888.46
2017,11,11,0,1840.43
2017,11,11,1,1570.65
2017,11,11,2,1302.94
2017,11,11,3,1138.87
2017,11,11,4,658.44
2017,11,11,5,577.44
2017,11,11,6,331.98
2017,11,11,7,183.07
2017,11,11,8,239.2
2017,11,11,9,484.41
2017,11,11,10,578.1
2017,11,11,11,671.83
2017,11,11,12,997.7
2017,11,11,13,1423.4
2017,11,11,14,1342.36
2017,11,11,15,1552.46
2017,11,11,16,1086.38
2017,11,11,17,837.62
2017,11,11,18,671.64
2017,11,11,19,582.67
2017,11,11,20,824.81
2017,11,11,21,688.15
2017,11,11,22,767.51
2017,11,11,23,1354.37
2017,11,12,0,1741.05
2017,11,12,1,1636.26
2017,11,12,2,1180.47
2017,11,12,3,865.38
2017,11,12,4,708.18
2017,11,12,5,430.56
2017,11,12,6,341.37
2017,11,12,7,327.71
2017,11,12,8,302.77
2017,11,12,9,254.78
2017,11,12,10,389.16
2017,11,12,11,444.32
2017,11,12,12,694.02
2017,11,12,13,891.87
2017,11,12,14,1133.89
2017,11,12,15,1226.19
2017,11,12,16,619.39
2017,11,12,17,636.65
2017,11,12,18,611.98
2017,11,12,19,692.97
2017,11,12,20,837.23
2017,11,12,21,907.5
2017,11,12,22,939.7
2017,11,12,23,2040.35
2017,11,13,0,1955.32
2017,11,13,1,1207.6
2017,11,13,2,1052.13
2017,11,13,3,580.2
2017,11,13,4,465.1
2017,11,13,5,458.95
2017,11,13,6,275.2
2017,11,13,7,194.65
2017,11,13,8,401.21
2017,11,13,9,606.51
2017,11,13,10,675.82
2017,11,13,11,1025.11
2017,11,13,12,1282.04
2017,11,13,13,1269.29
2017,11,13,14,1354.33
2017,11,13,15,1445.04
2017,11,13,16,986.24
